year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Brubaker, JT,664141,Pirates,PIT,R,80,382,2381,14.69753086,0.160436791,CUKC,Curveball,50.9,-53.2,-2.3,-4,6.5,6.6,-0.1,-2,0.255319149,0.523404255
2022,Gonzales, Marco,594835,Mariners,SEA,L,76.6,381,2838,17.51851852,0.134249471,CUKC,Curveball,59.8,-55.7,4.1,7,6.3,11.3,-5,-44,0.838297872,0.076595745
2022,Gilbert, Logan,669302,Mariners,SEA,R,80.8,377,3015,18.61111111,0.125041459,CUKC,Curveball,50.1,-51.1,-1,-2,4.2,7.2,-3,-42,0.378723404,0.165957447
2022,Barlow, Scott,605130,Royals,KC,R,78.6,373,1198,7.395061728,0.311352254,CUKC,Curveball,53.4,-52.5,0.8,2,16.2,11.8,4.4,37,0.540425532,0.889361702
2022,Anderson, Ian,666120,Braves,ATL,R,81.7,371,2005,12.37654321,0.185037406,CUKC,Curveball,43.8,-50.7,-6.9,-14,0.6,7.1,-6.4,-91,0.072340426,0.034042553
2022,Urquidy, José,664353,Astros,HOU,R,78.1,371,2640,16.2962963,0.140530303,CUKC,Curveball,60.3,-56,4.3,8,7.4,7.9,-0.5,-7,0.868085106,0.455319149
2022,Cobb, Alex,502171,Giants,SF,R,83.8,371,2418,14.92592593,0.153432589,CUKC,Curveball,51.9,-47.8,4.2,9,5.9,6.8,-0.9,-13,0.846808511,0.417021277
2022,Lugo, Seth,607625,Mets,NYM,R,79.8,367,1079,6.660493827,0.34012975,CUKC,Curveball,60.8,-52.8,8,15,10.7,8.9,1.8,20,0.991489362,0.740425532
2022,Yarbrough, Ryan,642232,Rays,TB,L,71.3,366,1355,8.364197531,0.270110701,CUKC,Curveball,49.4,-52.6,-3.2,-6,15.7,15.5,0.2,1,0.191489362,0.574468085
2022,Kelly, Joe,523260,White Sox,CWS,R,88.1,365,703,4.339506173,0.519203414,CUKC,Curveball,43.1,-41.1,1.9,5,8.5,5.2,3.3,63,0.680851064,0.85106383
2022,Milner, Hoby,571948,Brewers,MIL,L,79.5,356,1088,6.716049383,0.327205882,CUKC,Curveball,45.3,-45.9,-0.5,-1,13.4,12.7,0.6,5,0.421276596,0.612765957
2022,Snell, Blake,605483,Padres,SD,L,81.4,354,2341,14.45061728,0.151217428,CUKC,Curveball,51,-51.4,-0.3,-1,12.2,6.6,5.5,84,0.434042553,0.940425532
2022,Cole, Gerrit,543037,Yankees,NYY,R,83,353,3274,20.20987654,0.107819181,CUKC,Curveball,53,-48.8,4.3,9,10.2,7.7,2.5,32,0.868085106,0.795744681
2022,Gomber, Austin,596295,Rockies,COL,L,75.8,352,2059,12.70987654,0.170956775,CUKC,Curveball,61.6,-60.8,0.8,1,7,8.7,-1.8,-20,0.540425532,0.293617021
2022,Maton, Phil,664208,Astros,HOU,R,74.5,343,1089,6.722222222,0.31496786,CUKC,Curveball,58.9,-58.8,0.1,0,19.9,13.8,6.1,44,0.472340426,0.965957447
2022,Kimbrel, Craig,518886,Dodgers,LAD,R,85.7,339,1077,6.648148148,0.314763231,CUKC,Curveball,44,-43.7,0.4,1,10.2,11.4,-1.2,-10,0.506382979,0.391489362
2022,Otto, Glenn,657248,Rangers,TEX,R,81.2,333,2229,13.75925926,0.149394347,CUKC,Curveball,52.3,-51.1,1.1,2,6.5,7.9,-1.3,-17,0.587234043,0.370212766
2022,Ruiz, José,614179,White Sox,CWS,R,86.3,328,1115,6.882716049,0.294170404,CUKC,Curveball,42,-43.9,-1.9,-4,2,5,-2.9,-59,0.306382979,0.182978723
2022,Barnes, Matt,598264,Red Sox,BOS,R,84.1,325,693,4.277777778,0.468975469,CUKC,Curveball,48.9,-47.9,1,2,3.7,5.9,-2.2,-38,0.570212766,0.259574468
2022,Eovaldi, Nathan,543135,Red Sox,BOS,R,78.3,322,1739,10.7345679,0.185163887,CUKC,Curveball,54.2,-54.1,0.2,0,9.7,10.5,-0.9,-8,0.485106383,0.417021277
2022,Duran, Jhoan,661395,Twins,MIN,R,87.8,321,1023,6.314814815,0.313782991,CUKC,Curveball,42.2,-41.7,0.5,1,3,4.4,-1.4,-31,0.510638298,0.353191489
2022,Bush, Matt,456713,Brewers,MIL,R,81,320,909,5.611111111,0.352035204,CUKC,Curveball,51.8,-49.3,2.5,5,8.4,10.3,-1.8,-18,0.723404255,0.293617021
2022,Woodruff, Brandon,605540,Brewers,MIL,R,84,319,2538,15.66666667,0.125689519,CUKC,Curveball,46,-47.5,-1.5,-3,2.5,6.7,-4.1,-62,0.344680851,0.10212766
2022,Stratton, Chris,608717,Cardinals,STL,R,80.8,318,1100,6.790123457,0.289090909,CUKC,Curveball,50.2,-51.4,-1.2,-2,16.1,8.5,7.5,89,0.365957447,0.991489362
2022,Thompson, Keegan,624522,Cubs,CHC,R,81.3,316,1878,11.59259259,0.168264111,CUKC,Curveball,55.1,-50.8,4.3,9,8.2,8.5,-0.4,-4,0.868085106,0.476595745
2022,Heasley, Jonathan,669169,Royals,KC,R,78.5,306,1796,11.08641975,0.170378619,CUKC,Curveball,60.3,-55.2,5.1,9,6.1,8.5,-2.4,-29,0.919148936,0.229787234
