name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Aaron Sanchez,Sanchez, Aaron,592717,MIN,R,79.1,285,1006,CUKC,Curveball,54.6,12.8
 James Karinchak,Karinchak, James,675916,CLE,R,82.9,283,704,CUKC,Curveball,48.3,1.7
 David Robertson,Robertson, David,502085,PHI,R,84.7,283,1060,CUKC,Curveball,49.5,7.3
 Zack Wheeler,Wheeler, Zack,554430,PHI,R,81.3,281,2358,CUKC,Curveball,51.7,9.2
 Rony García,García, Rony,665621,DET,R,80.3,280,885,CUKC,Curveball,42.2,7.9
 James Kaprielian,Kaprielian, James,621076,OAK,R,79.3,279,2230,CUKC,Curveball,51.9,7.3
 George Kirby,Kirby, George,669923,SEA,R,80.8,278,2092,CUKC,Curveball,53.6,9.9
 Joan Adon,Adon, Joan,672851,WSH,R,79.7,277,1204,CUKC,Curveball,53.5,7.8
 Brett Martin,Martin, Brett,656685,TEX,L,82.8,274,750,CUKC,Curveball,47.9,1.9
 Chad Kuhl,Kuhl, Chad,641771,COL,R,79.5,273,2375,CUKC,Curveball,54.6,12.3
 Nick Martinez,Martinez, Nick,607259,SD,R,81.7,273,1720,CUKC,Curveball,58.4,2.4
 Jackson Stephens,Stephens, Jackson,623451,ATL,R,76.8,272,944,CUKC,Curveball,57.8,16.0
 Tyler Danish,Danish, Tyler,641501,BOS,R,80.9,270,664,CUKC,Curveball,37.6,11.4
 Chase De Jong,De Jong, Chase,608328,PIT,R,77.7,269,1174,CUKC,Curveball,59.4,6.3
 Jimmy Herget,Herget, Jimmy,623474,LAA,R,74.8,269,996,CUKC,Curveball,46.1,16.9
 Mark Melancon,Melancon, Mark,453343,AZ,R,81.7,266,886,CUKC,Curveball,55.7,4.6
 Noé Ramirez,Ramirez, Noé,598287,AZ,R,78.0,263,837,CUKC,Curveball,46.2,9.8
 Joe Mantiply,Mantiply, Joe,573009,AZ,L,81.1,260,861,CUKC,Curveball,43.4,6.6
 Kyle Bradish,Bradish, Kyle,680694,BAL,R,83.2,258,1993,CUKC,Curveball,53.1,5.8
 Josh Staumont,Staumont, Josh,622251,KC,R,82.2,255,731,CUKC,Curveball,52.4,9.2
 Edward Cabrera,Cabrera, Edward,665795,MIA,R,83.8,253,1215,CUKC,Curveball,44.8,9.0
 Luis Garcia,Garcia, Luis,677651,HOU,R,77.1,252,2468,CUKC,Curveball,57.1,5.9
 David Bednar,Bednar, David,670280,PIT,R,77.1,248,842,CUKC,Curveball,56.7,8.3
 Caleb Thielbar,Thielbar, Caleb,573204,MIN,L,73.0,246,996,CUKC,Curveball,68.3,10.5
 Rowan Wick,Wick, Rowan,592858,CHC,R,76.8,242,1153,CUKC,Curveball,65.6,7.5
 Dean Kremer,Kremer, Dean,665152,BAL,R,76.5,240,1947,CUKC,Curveball,62.2,11.1
 Zach Eflin,Eflin, Zach,621107,PHI,R,78.3,240,1194,CUKC,Curveball,49.9,12.0
 Tony Gonsolin,Gonsolin, Tony,664062,LAD,R,80.7,239,2015,CUKC,Curveball,54.0,3.3
 Aaron Ashby,Ashby, Aaron,676879,MIL,L,79.7,239,1878,CUKC,Curveball,59.0,7.8
 Tyler Duffey,Duffey, Tyler,608648,MIN,R,81.6,237,741,CUKC,Curveball,53.0,7.2
 Matt Brash,Brash, Matt,666374,SEA,R,84.5,237,935,CUKC,Curveball,46.1,13.8
 Pablo López,López, Pablo,641154,MIA,R,80.9,235,2910,CUKC,Curveball,51.7,11.0
 Trevor Megill,Megill, Trevor,656730,MIN,R,83.3,235,774,CUKC,Curveball,56.3,7.6
 Bryse Wilson,Wilson, Bryse,669060,PIT,R,77.2,234,1825,CUKC,Curveball,49.6,16.6
 Dylan Bundy,Bundy, Dylan,605164,MIN,R,72.2,231,2180,CUKC,Curveball,63.4,8.2
 José Suarez,Suarez, José,660761,LAA,L,78.0,231,1783,CUKC,Curveball,51.8,10.5
 Patrick Sandoval,Sandoval, Patrick,663776,LAA,L,78.6,229,2456,CUKC,Curveball,56.5,7.6
 Roansy Contreras,Contreras, Roansy,672710,PIT,R,78.9,228,1588,CUKC,Curveball,56.7,8.9
 Carl Edwards Jr.,Edwards Jr., Carl,605218,WSH,R,80.2,228,1014,CUKC,Curveball,52.7,7.9
 Shohei Ohtani,Ohtani, Shohei,660271,LAA,R,77.7,227,2629,CUKC,Curveball,59.5,11.2
 MacKenzie Gore,Gore, MacKenzie,669022,SD,L,80.8,226,1258,CUKC,Curveball,52.3,0.6
 Carlos Hernández,Hernández, Carlos,672578,KC,R,82.1,225,1035,CUKC,Curveball,45.1,3.1
 Zach Plesac,Plesac, Zach,668676,CLE,R,79.3,223,2153,CUKC,Curveball,52.8,1.9
