name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Patrick Sandoval,Sandoval, Patrick,663776,LAA,L,93.4,349,2456,SIFT,Sinker,19.0,13.7
 Yohan Ramirez,Ramirez, Yohan,670990,PIT,R,95.7,346,620,SIFT,Sinker,24.4,17.8
 Adam Ottavino,Ottavino, Adam,493603,NYM,R,94.2,344,1057,SIFT,Sinker,24.7,16.4
 Aaron Civale,Civale, Aaron,650644,CLE,R,91.3,344,1588,SIFT,Sinker,21.2,12.2
 Albert Abreu,Abreu, Albert,656061,NYY,R,98.5,343,707,SIFT,Sinker,15.1,14.7
 Graham Ashcraft,Ashcraft, Graham,668933,CIN,R,97.1,343,1756,SIFT,Sinker,22.6,9.7
 Ryan Feltner,Feltner, Ryan,663372,COL,R,93.5,338,1675,SIFT,Sinker,25.7,12.1
 Andres Machado,Machado, Andres,600921,WSH,R,95.0,337,997,SIFT,Sinker,18.7,15.4
 Kirby Snead,Snead, Kirby,669912,OAK,L,93.3,327,780,SIFT,Sinker,25.3,18.7
 Braxton Garrett,Garrett, Braxton,666129,MIA,L,90.9,325,1436,SIFT,Sinker,26.3,16.4
 Ryan Thompson,Thompson, Ryan,657044,TB,R,90.0,324,679,SIFT,Sinker,41.7,15.8
 Sam Moll,Moll, Sam,594580,OAK,L,93.3,320,737,SIFT,Sinker,27.9,13.2
 Jesse Chavez,Chavez, Jesse,445926,ATL,R,91.2,315,1202,SIFT,Sinker,25.6,16.5
 Charlie Morton,Morton, Charlie,450203,ATL,R,94.7,313,2903,SIFT,Sinker,25.4,17.1
 Dylan Floro,Floro, Dylan,571670,MIA,R,92.6,312,863,SIFT,Sinker,23.2,17.3
 Jameson Taillon,Taillon, Jameson,592791,NYY,R,94.2,312,2805,SIFT,Sinker,16.2,13.6
 Adam Cimber,Cimber, Adam,643256,TOR,R,86.5,310,1044,SIFT,Sinker,45.7,12.2
 Tyler Alexander,Alexander, Tyler,641302,DET,L,90.1,309,1591,SIFT,Sinker,21.0,14.8
 Yunior Marte,Marte, Yunior,628708,SF,R,96.9,308,856,SIFT,Sinker,21.4,17.7
 T.J. McFarland,McFarland, T.J.,519008,STL,L,88.8,306,487,SIFT,Sinker,34.2,17.2
 Wandy Peralta,Peralta, Wandy,593974,NYY,L,95.4,304,816,SIFT,Sinker,20.4,17.0
 Jesús Luzardo,Luzardo, Jesús,666200,MIA,L,95.7,303,1644,SIFT,Sinker,18.2,17.1
 Anthony Bass,Bass, Anthony,542914,TOR,R,95.4,299,986,SIFT,Sinker,16.2,13.7
 Alex Lange,Lange, Alex,656638,DET,R,96.2,298,1046,SIFT,Sinker,20.4,15.8
 Wil Crowe,Crowe, Wil,640444,PIT,R,94.4,298,1380,SIFT,Sinker,17.8,12.1
 Víctor Arano,Arano, Víctor,644364,WSH,R,93.9,293,678,SIFT,Sinker,21.3,16.9
 Camilo Doval,Doval, Camilo,666808,SF,R,98.4,290,1121,SIFT,Sinker,25.6,11.3
 Mike Clevinger,Clevinger, Mike,605182,SD,R,93.2,288,1931,SIFT,Sinker,16.6,14.0
 Brusdar Graterol,Graterol, Brusdar,660813,LAD,R,99.7,288,675,SIFT,Sinker,19.8,16.5
 Michael King,King, Michael,650633,NYY,R,95.5,286,776,SIFT,Sinker,23.4,16.9
 Jimmy Herget,Herget, Jimmy,623474,LAA,R,90.4,285,996,SIFT,Sinker,33.6,18.0
 Collin Snider,Snider, Collin,676092,KC,R,96.0,283,583,SIFT,Sinker,26.6,14.6
 Taijuan Walker,Walker, Taijuan,592836,NYM,R,92.9,283,2500,SIFT,Sinker,18.9,15.2
 Carlos Carrasco,Carrasco, Carlos,471911,NYM,R,91.9,283,2412,SIFT,Sinker,24.9,16.2
 Lou Trivino,Trivino, Lou,642152,NYY,R,95.8,283,955,SIFT,Sinker,21.0,16.4
 Jhoulys Chacín,Chacín, Jhoulys,468504,COL,R,92.9,281,786,SIFT,Sinker,22.1,11.6
 Eduardo Rodriguez,Rodriguez, Eduardo,593958,DET,L,91.7,276,1469,SIFT,Sinker,22.2,13.9
 Scott Effross,Effross, Scott,664123,NYY,R,90.3,276,815,SIFT,Sinker,37.1,18.0
 Tanner Houck,Houck, Tanner,656557,BOS,R,94.5,272,918,SIFT,Sinker,31.6,16.6
 Yu Darvish,Darvish, Yu,506433,SD,R,94.7,269,2971,SIFT,Sinker,18.9,14.0
 Taylor Hearn,Hearn, Taylor,621368,TEX,L,93.8,267,1787,SIFT,Sinker,18.7,14.5
 Luis Cessa,Cessa, Luis,570666,CIN,R,93.6,267,1235,SIFT,Sinker,20.8,14.8
 Joe Kelly,Kelly, Joe,523260,CWS,R,97.9,267,703,SIFT,Sinker,18.2,15.2
 Joel Kuhnel,Kuhnel, Joel,669270,CIN,R,96.1,267,934,SIFT,Sinker,21.4,15.9
 Jake Woodford,Woodford, Jake,663765,STL,R,91.8,266,697,SIFT,Sinker,24.3,12.6
 Seranthony Domínguez,Domínguez, Seranthony,622554,PHI,R,98.2,265,823,SIFT,Sinker,18.9,15.3
 Brett Martin,Martin, Brett,656685,TEX,L,93.5,263,750,SIFT,Sinker,18.8,14.4
 Duane Underwood Jr.,Underwood Jr., Duane,621249,PIT,R,95.3,262,1004,SIFT,Sinker,19.0,14.1
 John Schreiber,Schreiber, John,670167,BOS,R,93.4,261,1020,SIFT,Sinker,34.3,15.5
 Lance Lynn,Lynn, Lance,458681,CWS,R,91.5,260,2022,SIFT,Sinker,25.8,10.9
 Diego Castillo,Castillo, Diego,650895,SEA,R,95.1,257,843,SIFT,Sinker,25.4,17.3
 George Kirby,Kirby, George,669923,SEA,R,94.7,255,2092,SIFT,Sinker,20.6,16.2
 Ryan Yarbrough,Yarbrough, Ryan,642232,TB,L,86.7,254,1355,SIFT,Sinker,25.0,14.2
 Jared Koenig,Koenig, Jared,657649,OAK,L,89.2,253,653,SIFT,Sinker,23.2,11.9
 Mark Leiter Jr.,Leiter Jr., Mark,643410,CHC,R,90.9,252,1086,SIFT,Sinker,20.6,12.7
 Nick Martinez,Martinez, Nick,607259,SD,R,93.3,251,1720,SIFT,Sinker,17.5,14.9
 Rafael Montero,Montero, Rafael,606160,HOU,R,95.9,250,1093,SIFT,Sinker,21.4,16.2
 Tyler Beede,Beede, Tyler,595881,PIT,R,95.6,248,1072,SIFT,Sinker,20.8,15.7
 Sam Hentges,Hentges, Sam,656529,CLE,L,95.7,246,944,SIFT,Sinker,19.7,14.1
 Michael Wacha,Wacha, Michael,608379,BOS,R,92.6,245,1949,SIFT,Sinker,15.3,11.7
 Tyler Danish,Danish, Tyler,641501,BOS,R,90.9,242,664,SIFT,Sinker,34.7,17.7
 Humberto Castellanos,Castellanos, Humberto,528748,AZ,R,90.4,242,748,SIFT,Sinker,31.3,16.1
 Aníbal Sánchez,Sánchez, Aníbal,434671,WSH,R,89.1,237,1232,SIFT,Sinker,21.0,12.3
 Pablo López,López, Pablo,641154,MIA,R,93.4,237,2910,SIFT,Sinker,25.3,14.8
 Seth Lugo,Lugo, Seth,607625,NYM,R,94.4,236,1079,SIFT,Sinker,18.3,15.6
 Jake Diekman,Diekman, Jake,518617,CWS,L,95.3,229,1172,SIFT,Sinker,22.5,17.8
 Kenley Jansen,Jansen, Kenley,445276,ATL,R,93.6,225,1006,SIFT,Sinker,11.8,4.6
 David Peterson,Peterson, David,656849,NYM,L,93.2,221,1889,SIFT,Sinker,22.2,16.7
 Héctor Neris,Neris, Héctor,593576,HOU,R,94.5,218,1012,SIFT,Sinker,18.5,16.9
 Corbin Burnes,Burnes, Corbin,669203,MIL,R,96.3,218,3274,SIFT,Sinker,17.3,11.6
 Tommy Nance,Nance, Tommy,667297,MIA,R,94.2,217,751,SIFT,Sinker,23.7,15.9
 Reiver Sanmartin,Sanmartin, Reiver,665665,CIN,L,90.5,217,1031,SIFT,Sinker,28.9,17.5
 Joel Payamps,Payamps, Joel,606303,OAK,R,94.3,216,952,SIFT,Sinker,21.8,15.7
 Javier Assad,Assad, Javier,665871,CHC,R,92.3,215,690,SIFT,Sinker,20.0,14.2
 Jonathan Hernández,Hernández, Jonathan,642546,TEX,R,98.0,215,511,SIFT,Sinker,21.2,18.8
