name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Craig Kimbrel,518886,LAD,R,95.8,738,1077,FF,4-Seamer,15.4,10.4
 Taijuan Walker,592836,NYM,R,93.7,737,2500,FF,4-Seamer,14.0,10.1
 Clayton Kershaw,477132,LAD,L,90.7,735,1842,FF,4-Seamer,14.7,0.5
 Austin Voth,608723,BAL,R,93.5,725,1762,FF,4-Seamer,13.9,7.2
 Drew Hutchison,571800,DET,R,92.4,725,1759,FF,4-Seamer,15.2,3.7
 Shohei Ohtani,660271,LAA,R,97.3,725,2629,FF,4-Seamer,14.5,3.4
 Mike Minor,501985,CIN,L,90.4,723,1750,FF,4-Seamer,19.2,3.9
 Carlos Estévez,608032,COL,R,97.5,721,1021,FF,4-Seamer,14.1,10.0
 David Peterson,656849,NYM,L,93.7,716,1889,FF,4-Seamer,17.5,9.0
 Rich Hill,448179,BOS,L,88.5,708,1990,FF,4-Seamer,16.4,8.2
 Mike Clevinger,605182,SD,R,93.6,707,1931,FF,4-Seamer,14.2,8.7
 Ian Kennedy,453178,AZ,R,93.4,706,867,FF,4-Seamer,14.1,10.4
 Brent Suter,608718,MIL,L,86.4,696,1070,FF,4-Seamer,23.7,3.8
 Carl Edwards Jr.,605218,WSH,R,94.6,687,1014,FF,4-Seamer,14.2,1.7
 Ross Stripling,548389,TOR,R,91.9,685,2033,FF,4-Seamer,13.7,5.2
 Joe Musgrove,605397,SD,R,92.9,680,2834,FF,4-Seamer,18.3,4.1
 Dylan Coleman,669395,KC,R,97.5,678,1205,FF,4-Seamer,15.2,4.8
 Phil Bickford,641360,LAD,R,94.1,674,990,FF,4-Seamer,15.2,4.8
 Alexis Díaz,664747,CIN,R,95.7,667,1077,FF,4-Seamer,15.6,6.6
 Nathan Eovaldi,543135,BOS,R,95.7,667,1739,FF,4-Seamer,15.5,12.3
 Bryan Baker,641329,BAL,R,96.2,663,1181,FF,4-Seamer,11.8,2.4
 Frankie Montas,593423,NYY,R,96.1,663,2327,FF,4-Seamer,12.8,6.3
 Tyler Wells,669330,BAL,R,93.5,662,1649,FF,4-Seamer,11.6,5.9
 Konnor Pilkington,663455,CLE,L,92.1,658,1039,FF,4-Seamer,16.0,9.4
 Kyle Freeland,607536,COL,L,90.3,657,2839,FF,4-Seamer,19.9,5.9
 Dean Kremer,665152,BAL,R,93.5,646,1947,FF,4-Seamer,14.9,8.9
 Michael Wacha,608379,BOS,R,93.0,643,1949,FF,4-Seamer,12.4,6.7
 Chris Archer,502042,MIN,R,93.0,638,1787,FF,4-Seamer,13.1,6.4
 Rowan Wick,592858,CHC,R,94.9,631,1153,FF,4-Seamer,12.7,2.8
 Keegan Akin,669211,BAL,L,93.5,628,1235,FF,4-Seamer,13.5,10.7
 Spenser Watkins,657093,BAL,R,91.4,625,1642,FF,4-Seamer,16.2,1.2
 JP Sears,676664,OAK,L,93.2,611,1079,FF,4-Seamer,17.9,12.1
 José Suarez,660761,LAA,L,92.7,610,1783,FF,4-Seamer,16.4,9.5
 Félix Bautista,642585,BAL,R,99.1,608,995,FF,4-Seamer,8.2,7.3
 Will Vest,676684,DET,R,95.1,606,1083,FF,4-Seamer,14.8,9.3
 Alex Vesia,681911,LAD,L,94.1,600,951,FF,4-Seamer,11.4,5.0
 Brad Boxberger,502202,MIL,R,92.7,599,1090,FF,4-Seamer,14.5,6.0
 Joe Jiménez,641729,DET,R,95.7,597,937,FF,4-Seamer,11.6,10.4
 Beau Brieske,689225,DET,R,94.3,594,1287,FF,4-Seamer,13.3,7.3
 Ryan Feltner,663372,COL,R,94.5,591,1675,FF,4-Seamer,17.0,6.6
 José Quijada,650671,LAA,L,94.5,586,691,FF,4-Seamer,15.2,6.0
 Lucas Gilbreath,656458,COL,L,93.8,583,796,FF,4-Seamer,15.1,0.6
 Emilio Pagán,641941,MIN,R,95.6,582,1126,FF,4-Seamer,11.6,4.9
 Liam Hendriks,521230,CWS,R,97.6,574,948,FF,4-Seamer,10.1,6.0
 Vince Velasquez,592826,CWS,R,93.2,565,1286,FF,4-Seamer,13.1,5.1
 Caleb Smith,592761,AZ,L,91.9,563,1234,FF,4-Seamer,13.9,10.9
 Matt Moore,519043,TEX,L,93.9,561,1248,FF,4-Seamer,13.2,9.1
 Patrick Sandoval,663776,LAA,L,93.1,560,2456,FF,4-Seamer,15.1,4.0
 Corey Knebel,608349,PHI,R,95.6,555,795,FF,4-Seamer,12.5,3.8
 A.J. Minter,621345,ATL,L,96.6,553,1111,FF,4-Seamer,12.0,6.5
 Eli Morgan,669212,CLE,R,92.1,551,1017,FF,4-Seamer,15.1,10.9
 Ryan Helsley,664854,STL,R,99.6,548,962,FF,4-Seamer,9.5,2.8
 Tyler Matzek,554431,ATL,L,94.1,547,713,FF,4-Seamer,13.4,3.8
 Chase De Jong,608328,PIT,R,92.8,547,1174,FF,4-Seamer,13.2,1.2
 Reynaldo López,625643,CWS,R,97.1,542,985,FF,4-Seamer,12.1,7.2
 Hunter Strickland,519326,CIN,R,95.0,539,1099,FF,4-Seamer,16.9,5.0
 Nick Lodolo,666157,CIN,L,94.4,539,1779,FF,4-Seamer,20.5,16.8
 Eduardo Rodriguez,593958,DET,L,91.7,533,1469,FF,4-Seamer,18.0,6.9
 José Ruiz,614179,CWS,R,96.9,530,1115,FF,4-Seamer,12.0,7.1
 Sonny Gray,543243,MIN,R,92.1,529,1872,FF,4-Seamer,16.8,1.5
 Adrian Sampson,592716,CHC,R,92.4,527,1694,FF,4-Seamer,17.4,10.1
 Mychal Givens,571710,NYM,R,93.4,526,1026,FF,4-Seamer,19.2,6.9
 Ryne Stanek,592773,HOU,R,98.3,523,895,FF,4-Seamer,10.8,10.2
 Kyle Wright,657140,ATL,R,95.1,522,2697,FF,4-Seamer,17.7,11.4
 Glenn Otto,657248,TEX,R,92.1,520,2229,FF,4-Seamer,17.0,4.3
 Jake Diekman,518617,CWS,L,95.6,520,1172,FF,4-Seamer,17.6,15.9
 Nick Nelson,656793,PHI,R,96.3,517,1204,FF,4-Seamer,13.2,6.6
 A.J. Puk,640462,OAK,L,96.7,513,1072,FF,4-Seamer,17.4,12.6
 Trevor Richards,670950,TOR,R,93.4,512,1163,FF,4-Seamer,11.4,7.4
 Tarik Skubal,669373,DET,L,94.1,510,1914,FF,4-Seamer,15.1,8.3
 Hunter Harvey,640451,WSH,R,98.3,509,661,FF,4-Seamer,11.0,9.1
 Matt Manning,666159,DET,R,93.2,509,990,FF,4-Seamer,15.0,2.9
 Jhoan Duran,661395,MIN,R,100.8,508,1023,FF,4-Seamer,12.9,11.7
 Enyel De Los Santos,660853,CLE,R,95.3,503,845,FF,4-Seamer,15.9,11.8
 Zach Logue,656657,OAK,L,90.1,503,1022,FF,4-Seamer,20.0,10.1
 Jake McGee,459429,WSH,L,94.4,502,629,FF,4-Seamer,15.8,11.7
 Alex Faedo,656412,DET,R,92.7,501,967,FF,4-Seamer,14.9,11.0
 Paul Sewald,623149,SEA,R,92.5,501,974,FF,4-Seamer,18.4,11.9
 Kutter Crawford,676710,BOS,R,94.6,499,1296,FF,4-Seamer,11.6,10.0
 Rafael Montero,606160,HOU,R,96.4,498,1093,FF,4-Seamer,13.8,9.3
 Carlos Hernández,672578,KC,R,96.7,495,1035,FF,4-Seamer,12.1,8.1
 Caleb Thielbar,573204,MIN,L,92.8,492,996,FF,4-Seamer,12.3,3.2
 John Brebbia,605154,SF,R,94.4,491,1091,FF,4-Seamer,13.4,10.0
 Patrick Corbin,571578,WSH,L,92.1,489,2623,FF,4-Seamer,17.6,8.1
 Trevor Stephan,663986,CLE,R,96.5,486,1032,FF,4-Seamer,15.0,11.0
 Austin Davis,656354,MIN,L,94.1,483,1118,FF,4-Seamer,15.8,10.4
 Jalen Beeks,656222,TB,L,95.0,482,999,FF,4-Seamer,12.5,5.1
 Davis Martin,663436,CWS,R,94.0,482,1044,FF,4-Seamer,14.6,6.3
 Tanner Scott,656945,MIA,L,96.9,480,1273,FF,4-Seamer,12.6,5.3
 Erik Swanson,657024,SEA,R,93.6,479,880,FF,4-Seamer,12.5,10.0
 Chris Stratton,608717,STL,R,92.8,474,1100,FF,4-Seamer,16.9,3.6
 Jordan Romano,605447,TOR,R,96.9,474,989,FF,4-Seamer,11.2,5.3
 Jesús Luzardo,666200,MIA,L,96.3,474,1644,FF,4-Seamer,14.7,13.5
 Giovanny Gallegos,606149,STL,R,94.3,473,988,FF,4-Seamer,12.3,7.5
 Jordan Weems,607179,WSH,R,96.8,471,738,FF,4-Seamer,11.1,6.8
 Phil Maton,664208,HOU,R,91.0,470,1089,FF,4-Seamer,16.8,1.3
 Elieser Hernandez,622694,MIA,R,91.6,470,1095,FF,4-Seamer,15.1,6.4
 Zach Jackson,667427,OAK,R,94.5,466,887,FF,4-Seamer,11.2,5.0
 Jordan Montgomery,656756,STL,L,93.0,462,2715,FF,4-Seamer,16.8,8.8
 Yimi Garcia,554340,TOR,R,94.9,461,1039,FF,4-Seamer,16.7,9.5
 Johnny Cueto,456501,CWS,R,91.4,459,2372,FF,4-Seamer,17.8,12.1
 Bryan Abreu,650556,HOU,R,97.2,459,1019,FF,4-Seamer,12.0,6.3
 Dakota Hudson,641712,STL,R,91.4,456,2253,FF,4-Seamer,24.2,4.4
 Steven Wilson,621051,SD,R,95.1,456,874,FF,4-Seamer,12.1,8.0
 Ranger Suárez,624133,PHI,L,93.2,454,2564,FF,4-Seamer,20.1,6.6
 Nick Martinez,607259,SD,R,93.4,452,1720,FF,4-Seamer,14.3,7.2
 David Bednar,670280,PIT,R,96.4,451,842,FF,4-Seamer,12.4,10.2
 Josh Winder,680739,MIN,R,94.0,450,1114,FF,4-Seamer,13.4,8.3
 Brandon Hughes,676714,CHC,L,93.2,448,973,FF,4-Seamer,16.8,12.9
 Tylor Megill,656731,NYM,R,95.7,447,791,FF,4-Seamer,13.5,7.2
 Jacob deGrom,594798,NYM,R,98.9,446,940,FF,4-Seamer,11.3,9.5
 Matt Bush,456713,MIL,R,97.3,444,909,FF,4-Seamer,10.1,6.7
 Devin Smeltzer,656970,MIN,L,89.5,442,1129,FF,4-Seamer,18.1,11.0
 Jeff Hoffman,656546,CIN,R,94.2,441,848,FF,4-Seamer,13.8,10.7
 Bryse Wilson,669060,PIT,R,92.7,438,1825,FF,4-Seamer,17.4,8.5
 Robert Stephenson,596112,PIT,R,96.8,437,914,FF,4-Seamer,14.0,11.4
 Ryan Brasier,518489,BOS,R,95.9,435,985,FF,4-Seamer,13.2,7.1
 Jarlín García,606424,SF,L,93.8,435,1015,FF,4-Seamer,18.1,14.8
 Michael Pineda,501381,DET,R,89.9,433,731,FF,4-Seamer,19.8,5.5
 Adam Oller,670124,OAK,R,93.3,431,1294,FF,4-Seamer,14.2,11.1
 Tommy Henry,674072,AZ,L,91.6,430,773,FF,4-Seamer,17.6,7.2
 Cory Abbott,676265,WSH,R,91.3,430,845,FF,4-Seamer,15.8,11.5
 Johan Oviedo,670912,PIT,R,96.0,426,980,FF,4-Seamer,19.5,8.7
 Trevor Megill,656730,MIN,R,98.0,424,774,FF,4-Seamer,11.7,4.2
 James Karinchak,675916,CLE,R,95.2,420,704,FF,4-Seamer,9.5,1.9
 Bailey Ober,641927,MIN,R,91.5,419,854,FF,4-Seamer,15.3,8.5
 Domingo Acevedo,642758,OAK,R,93.0,419,1005,FF,4-Seamer,18.4,13.6
 Luke Weaver,596133,KC,R,94.9,418,721,FF,4-Seamer,14.1,8.9
 Héctor Neris,593576,HOU,R,94.3,415,1012,FF,4-Seamer,13.9,10.4
 Ryan Pepiot,686752,LAD,R,93.9,414,737,FF,4-Seamer,12.9,9.9
 Penn Murfee,682171,SEA,R,89.0,412,1003,FF,4-Seamer,26.7,2.9
 Andrew Wantz,681806,LAA,R,93.8,411,831,FF,4-Seamer,13.6,3.0
 Hirokazu Sawamura,617228,BOS,R,95.9,409,838,FF,4-Seamer,14.0,8.8
 Drew Smith,622098,NYM,R,95.7,409,780,FF,4-Seamer,11.4,7.0
 Mike Mayers,594577,LAA,R,93.5,409,890,FF,4-Seamer,15.0,11.0
 Will Smith,519293,HOU,L,92.1,409,985,FF,4-Seamer,15.4,8.6
 Garrett Hill,682051,DET,R,92.0,405,1019,FF,4-Seamer,16.3,9.5
 Bailey Falter,663559,PHI,L,91.4,404,1295,FF,4-Seamer,13.8,1.2
 Tanner Banks,621383,CWS,L,92.9,403,897,FF,4-Seamer,15.5,1.9
 Cionel Pérez,672335,BAL,L,97.0,403,901,FF,4-Seamer,12.7,6.2
 Devin Williams,642207,MIL,R,93.9,401,1068,FF,4-Seamer,14.5,12.2
 Matt Foster,641582,CWS,R,93.7,400,768,FF,4-Seamer,12.6,5.8
 Rony García,665621,DET,R,92.9,395,885,FF,4-Seamer,18.0,10.6
 Griffin Jax,643377,MIN,R,95.4,390,1157,FF,4-Seamer,13.5,8.6
 Andrew Bellatti,571479,PHI,R,94.4,389,963,FF,4-Seamer,14.2,10.5
 Caleb Ferguson,657571,LAD,L,94.8,388,580,FF,4-Seamer,14.5,6.2
 Matt Festa,670036,SEA,R,92.6,388,897,FF,4-Seamer,17.6,4.8
 Edwin O Díaz,621242,NYM,R,99.1,386,928,FF,4-Seamer,14.5,13.5
 Zack Littell,641793,SF,R,94.5,384,758,FF,4-Seamer,12.6,6.2
 Michael Rucker,621074,CHC,R,94.7,379,914,FF,4-Seamer,14.5,7.4
 Tucker Davidson,656353,LAA,L,93.1,379,912,FF,4-Seamer,14.3,3.5
 Aroldis Chapman,547973,NYY,L,97.5,377,679,FF,4-Seamer,11.0,4.5
 Tyler Alexander,641302,DET,L,90.1,375,1591,FF,4-Seamer,15.9,7.7
 Adrian Morejon,670970,SD,L,96.9,373,540,FF,4-Seamer,12.2,6.8
 Josh Staumont,622251,KC,R,96.1,372,731,FF,4-Seamer,11.6,2.7
 Michael Lorenzen,547179,LAA,R,94.6,368,1654,FF,4-Seamer,15.8,11.9
 Buck Farmer,571656,CIN,R,94.6,368,855,FF,4-Seamer,15.3,10.1
 Tanner Rainey,663432,WSH,R,97.0,366,521,FF,4-Seamer,11.0,8.7
 Chris Bassitt,605135,NYM,R,93.3,365,2886,FF,4-Seamer,17.8,5.5
 Adam Cimber,643256,TOR,R,86.5,365,1044,FF,4-Seamer,31.6,10.9
 Taylor Clarke,664199,KC,R,95.6,364,859,FF,4-Seamer,12.3,5.5
 Chris Martin,455119,LAD,R,95.3,363,858,FF,4-Seamer,15.9,7.7
 Andrés Muñoz,662253,SEA,R,100.2,362,1024,FF,4-Seamer,13.9,12.1
 Jimmy Lambert,669424,CWS,R,94.3,360,818,FF,4-Seamer,12.7,7.7
 Walker Buehler,621111,LAD,R,95.2,358,1046,FF,4-Seamer,13.3,5.9
 Kyle Hendricks,543294,CHC,R,86.9,358,1347,FF,4-Seamer,20.4,6.0
 Braxton Garrett,666129,MIA,L,91.4,358,1436,FF,4-Seamer,17.1,9.3
 Gregory Soto,642397,DET,L,98.7,351,1102,FF,4-Seamer,14.5,11.2
 Robert Suarez,663158,SD,R,97.9,349,801,FF,4-Seamer,11.6,7.3
 Spencer Howard,675921,TEX,R,94.4,348,692,FF,4-Seamer,14.4,7.6
 Sam Hentges,656529,CLE,L,95.7,348,944,FF,4-Seamer,15.1,8.4
 Daniel Norris,596057,DET,L,91.2,347,1012,FF,4-Seamer,15.5,7.4
 Jackson Stephens,623451,ATL,R,94.1,345,944,FF,4-Seamer,16.2,6.1
 Jovani Moran,663558,MIN,L,93.4,343,672,FF,4-Seamer,13.4,2.9
 Dylan Lee,669276,ATL,L,92.1,343,754,FF,4-Seamer,12.7,7.0
 Reyes Moronta,606625,AZ,R,95.3,342,641,FF,4-Seamer,13.6,6.1
 Vladimir Gutierrez,661269,CIN,R,92.8,340,684,FF,4-Seamer,17.7,12.0
 Steve Cishek,518553,WSH,R,89.3,338,1175,FF,4-Seamer,23.1,12.0
 Zach Thompson,605507,PIT,R,92.3,338,2080,FF,4-Seamer,18.1,2.0
 David Phelps,475479,TOR,R,93.2,337,1151,FF,4-Seamer,13.6,8.7
 Max Castillo,666721,KC,R,93.0,335,697,FF,4-Seamer,17.5,13.0
 Ron Marinaccio,676760,NYY,R,94.6,335,757,FF,4-Seamer,13.6,12.5
 Matt Brash,666374,SEA,R,96.9,334,935,FF,4-Seamer,15.3,11.5
 Joey Krehbiel,607216,BAL,R,94.4,334,977,FF,4-Seamer,15.0,9.9
 Ken Waldichuk,686610,OAK,L,94.1,331,586,FF,4-Seamer,15.4,10.5
 Jharel Cotton,605194,SF,R,92.7,331,741,FF,4-Seamer,13.0,8.3
 Bruce Zimmermann,669145,BAL,L,90.6,328,1130,FF,4-Seamer,16.6,7.9
 Adrian Houser,605288,MIL,R,94.3,328,1848,FF,4-Seamer,15.5,9.4
 Amir Garrett,607237,KC,L,94.2,327,804,FF,4-Seamer,16.6,11.2
 Kyle Gibson,502043,PHI,R,92.0,326,2739,FF,4-Seamer,16.4,6.2
 Oliver Ortega,661383,LAA,R,95.9,323,567,FF,4-Seamer,15.1,2.4
 Peter Strzelecki,657265,MIL,R,93.5,322,605,FF,4-Seamer,17.6,11.5
 Jack Flaherty,656427,STL,R,93.3,320,662,FF,4-Seamer,17.5,3.6
 Matt Barnes,598264,BOS,R,95.0,318,693,FF,4-Seamer,13.7,10.9
 Kaleb Ort,672391,BOS,R,96.3,316,529,FF,4-Seamer,12.9,9.4
 Sam Long,669674,SF,L,94.7,314,739,FF,4-Seamer,12.4,7.5
 Noé Ramirez,598287,AZ,R,89.8,314,837,FF,4-Seamer,22.6,10.4
 Cole Ragans,666142,TEX,L,92.1,314,706,FF,4-Seamer,14.0,10.7
 Zack Thompson,668868,STL,L,94.8,312,575,FF,4-Seamer,14.5,7.9
 Seth Lugo,607625,NYM,R,94.4,312,1079,FF,4-Seamer,13.4,8.3
 Steven Okert,595345,MIA,L,93.7,309,968,FF,4-Seamer,16.5,10.0
 Seranthony Domínguez,622554,PHI,R,97.6,308,823,FF,4-Seamer,14.8,3.1
 Raisel Iglesias,628452,ATL,R,95.0,307,979,FF,4-Seamer,14.4,9.8
 Cole Sulser,642121,MIA,R,91.9,306,619,FF,4-Seamer,14.5,7.6
 Joey Wentz,666214,DET,L,92.4,305,555,FF,4-Seamer,15.6,11.9
 Andres Machado,600921,WSH,R,95.6,305,997,FF,4-Seamer,13.6,7.0
 Dominic Leone,608678,SF,R,95.6,304,826,FF,4-Seamer,14.4,6.1
 Shawn Armstrong,542888,TB,R,95.3,303,1047,FF,4-Seamer,14.2,5.2
 Cole Sands,663485,MIN,R,91.6,303,603,FF,4-Seamer,20.2,8.8
 Jason Adam,592094,TB,R,94.8,302,942,FF,4-Seamer,13.0,6.9
 Noah Syndergaard,592789,PHI,R,94.1,302,2026,FF,4-Seamer,16.7,5.8
 Ian Gibaut,664139,CIN,R,95.8,299,694,FF,4-Seamer,12.5,4.7
 John Schreiber,670167,BOS,R,94.5,298,1020,FF,4-Seamer,21.5,10.3
 Domingo Germán,593334,NYY,R,92.7,295,1081,FF,4-Seamer,15.7,11.0
 Matt Strahm,621381,BOS,L,94.2,292,764,FF,4-Seamer,15.1,13.5
 Adam Wainwright,425794,STL,R,88.0,291,3133,FF,4-Seamer,20.1,1.4
 Scott Barlow,605130,KC,R,93.6,288,1198,FF,4-Seamer,19.1,3.8
 José Leclerc,600917,TEX,R,96.5,286,782,FF,4-Seamer,11.4,4.0
 Ryan Tepera,572193,LAA,R,92.6,282,892,FF,4-Seamer,15.1,7.2
 Elvin Rodriguez,660730,DET,R,93.1,281,534,FF,4-Seamer,13.4,8.9
