name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Reid Detmers,Detmers, Reid,672282,LAA,L,85.9,557,2181,SL,Slider,37.9,3.1
 David Peterson,Peterson, David,656849,NYM,L,84.4,550,1889,SL,Slider,37.7,3.9
 Anthony Bass,Bass, Anthony,542914,TOR,R,86.6,549,986,SL,Slider,38.0,4.7
 Aaron Ashby,Ashby, Aaron,676879,MIL,L,83.5,548,1878,SL,Slider,42.3,9.4
 Roansy Contreras,Contreras, Roansy,672710,PIT,R,83.8,543,1588,SL,Slider,40.3,4.3
 Michael Kopech,Kopech, Michael,656629,CWS,R,84.3,539,2011,SL,Slider,40.2,4.7
 Scott Barlow,Barlow, Scott,605130,KC,R,84.1,534,1198,SL,Slider,39.4,8.1
 Jeffrey Springs,Springs, Jeffrey,605488,TB,L,85.4,533,2149,SL,Slider,32.4,4.5
 Edwin O Díaz,Díaz, Edwin O,621242,NYM,R,90.8,533,928,SL,Slider,28.8,1.5
 Diego Castillo,Castillo, Diego,650895,SEA,R,88.4,530,843,SL,Slider,28.8,0.2
 Jaime Barría,Barría, Jaime,642545,LAA,R,85.3,528,1123,SL,Slider,32.0,4.0
 Luis Castillo,Castillo, Luis,622491,SEA,R,86.5,528,2506,SL,Slider,36.0,1.1
 Jameson Taillon,Taillon, Jameson,592791,NYY,R,86.2,527,2805,SL,Slider,32.6,6.2
 Max Fried,Fried, Max,608331,ATL,L,87.3,524,2818,SL,Slider,34.9,3.8
 Drew Rasmussen,Rasmussen, Drew,656876,TB,R,84.6,524,2239,SL,Slider,42.2,12.1
 Tyler Rogers,Rogers, Tyler,643511,SF,R,72.2,524,1166,SL,Slider,39.2,13.9
 Zach Plesac,Plesac, Zach,668676,CLE,R,85.4,523,2153,SL,Slider,29.9,1.3
 Collin McHugh,McHugh, Collin,543521,ATL,R,80.2,523,1086,SL,Slider,42.6,16.4
 Dylan Bundy,Bundy, Dylan,605164,MIN,R,79.1,523,2180,SL,Slider,44.4,5.3
 Kyle Gibson,Gibson, Kyle,502043,PHI,R,83.4,521,2739,SL,Slider,40.6,4.5
 James Kaprielian,Kaprielian, James,621076,OAK,R,85.0,515,2230,SL,Slider,34.3,4.5
 Jordan Romano,Romano, Jordan,605447,TOR,R,87.3,512,989,SL,Slider,36.9,4.2
 Penn Murfee,Murfee, Penn,682171,SEA,R,79.7,512,1003,SL,Slider,40.9,16.9
 Dylan Coleman,Coleman, Dylan,669395,KC,R,83.3,511,1205,SL,Slider,36.2,13.9
 Austin Gomber,Gomber, Austin,596295,COL,L,84.3,507,2059,SL,Slider,34.7,5.0
 Max Scherzer,Scherzer, Max,453286,NYM,R,85.0,507,2167,SL,Slider,34.7,3.2
 Matt Festa,Festa, Matt,670036,SEA,R,82.9,507,897,SL,Slider,37.1,15.6
 Andrew Bellatti,Bellatti, Andrew,571479,PHI,R,85.9,505,963,SL,Slider,33.3,3.6
 Jesús Luzardo,Luzardo, Jesús,666200,MIA,L,83.7,495,1644,SL,Slider,39.6,1.1
 Camilo Doval,Doval, Camilo,666808,SF,R,87.7,489,1121,SL,Slider,34.8,6.4
 Ryan Feltner,Feltner, Ryan,663372,COL,R,84.4,485,1675,SL,Slider,36.2,5.8
 Taylor Hearn,Hearn, Taylor,621368,TEX,L,84.9,480,1787,SL,Slider,38.7,3.2
 Will Smith,Smith, Will,519293,HOU,L,81.7,475,985,SL,Slider,38.5,4.8
 Paul Sewald,Sewald, Paul,623149,SEA,R,82.8,473,974,SL,Slider,31.4,12.0
 Luis Cessa,Cessa, Luis,570666,CIN,R,82.8,470,1235,SL,Slider,44.2,5.6
 Mitch White,White, Mitch,669952,TOR,R,85.4,469,1715,SL,Slider,38.3,9.2
 Eric Lauer,Lauer, Eric,641778,MIL,L,86.8,466,2676,SL,Slider,32.1,3.1
 Giovanny Gallegos,Gallegos, Giovanny,606149,STL,R,85.5,466,988,SL,Slider,36.5,0.3
 Braxton Garrett,Garrett, Braxton,666129,MIA,L,84.1,463,1436,SL,Slider,41.7,9.0
 Robert Stephenson,Stephenson, Robert,596112,PIT,R,83.9,462,914,SL,Slider,41.3,5.2
 Graham Ashcraft,Ashcraft, Graham,668933,CIN,R,85.8,456,1756,SL,Slider,40.0,11.0
 Amir Garrett,Garrett, Amir,607237,KC,L,84.7,454,804,SL,Slider,32.8,1.5
 Noah Syndergaard,Syndergaard, Noah,592789,PHI,R,84.8,454,2026,SL,Slider,36.7,5.8
 Adam Ottavino,Ottavino, Adam,493603,NYM,R,81.0,451,1057,SL,Slider,40.1,17.7
 Bryan Abreu,Abreu, Bryan,650556,HOU,R,88.4,448,1019,SL,Slider,37.8,8.2
 Ross Stripling,Stripling, Ross,548389,TOR,R,87.1,446,2033,SL,Slider,29.6,4.5
 Tyler Wells,Wells, Tyler,669330,BAL,R,87.5,438,1649,SL,Slider,28.0,4.9
 Steve Cishek,Cishek, Steve,518553,WSH,R,76.5,436,1175,SL,Slider,52.2,16.2
 Mike Minor,Minor, Mike,501985,CIN,L,85.4,435,1750,SL,Slider,33.7,3.5
 Tony Gonsolin,Gonsolin, Tony,664062,LAD,R,87.5,433,2015,SL,Slider,30.8,3.2
 Wil Crowe,Crowe, Wil,640444,PIT,R,87.6,432,1380,SL,Slider,35.3,6.0
 Austin Davis,Davis, Austin,656354,MIN,L,80.5,428,1118,SL,Slider,41.6,15.0
 Joe Ryan,Ryan, Joe,657746,MIN,R,82.2,426,2391,SL,Slider,37.5,3.1
 Brandon Hughes,Hughes, Brandon,676714,CHC,L,82.9,425,973,SL,Slider,36.6,3.9
 Brad Hand,Hand, Brad,543272,PHI,L,79.3,425,817,SL,Slider,47.9,16.4
