name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Dylan Lee,92.1,12.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8,34.4,3.2,86.3,26.4,11.0,1
 Reyes Moronta,95.3,13.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.1,39.1,12.8,89.0,29.0,17.0,1
 Vladimir Gutierrez,92.8,17.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,78.4,52.2,15.1,82.2,40.6,12.8,82.9,29.9,13.1,4
 Steve Cishek,89.3,23.1,12.0,89.8,29.3,17.7,0.0,0.0,0.0,0.0,0.0,0.0,76.5,52.2,16.2,0.0,0.0,0.0,7
 Zach Thompson,92.3,18.1,2.0,92.2,24.1,9.7,86.8,32.1,3.4,76.6,56.5,5.0,0.0,0.0,0.0,85.7,31.6,12.1,6
 David Phelps,93.2,13.6,8.7,93.2,18.1,15.5,89.8,19.7,0.8,81.7,48.4,3.4,0.0,0.0,0.0,86.5,28.3,18.0,6
 Max Castillo,93.0,17.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4,36.0,3.2,87.5,30.5,13.6,1
 Ron Marinaccio,94.6,13.6,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.4,36.8,14.4,83.9,37.4,17.1,1
 Matt Brash,96.9,15.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,84.5,46.1,13.8,86.8,36.6,15.2,0.0,0.0,0.0,8
 Joey Krehbiel,94.4,15.0,9.9,0.0,0.0,0.0,86.4,31.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,84.4,36.0,14.1,0
 Ken Waldichuk,94.1,15.4,10.5,0.0,0.0,0.0,0.0,0.0,0.0,75.2,58.3,15.5,81.0,43.3,17.8,82.4,36.2,15.4,4
 Jharel Cotton,92.7,13.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,46.3,12.7,79.7,36.8,13.5,1
 Bruce Zimmermann,90.6,16.6,7.9,90.5,23.3,14.4,0.0,0.0,0.0,81.0,48.9,1.5,85.1,34.9,1.1,84.6,28.3,16.7,2
 Adrian Houser,94.3,15.5,9.4,93.8,22.6,16.2,0.0,0.0,0.0,81.1,55.6,6.7,85.0,36.5,6.1,85.4,30.7,15.0,2
 Amir Garrett,94.2,16.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,32.8,1.5,0.0,0.0,0.0,5
 Kyle Gibson,92.0,16.4,6.2,91.6,25.4,14.5,89.4,24.8,0.8,79.0,52.6,7.3,83.4,40.6,4.5,84.6,34.6,14.8,2
 Oliver Ortega,95.9,15.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,82.3,48.5,6.3,0.0,0.0,0.0,0.0,0.0,0.0,8
 Peter Strzelecki,93.5,17.6,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9,37.1,15.6,83.3,40.5,16.4,1
 Jack Flaherty,93.3,17.5,3.6,91.0,24.9,11.5,0.0,0.0,0.0,77.2,56.6,13.6,83.8,37.6,7.4,0.0,0.0,0.0,9
 Matt Barnes,95.0,13.7,10.9,0.0,0.0,0.0,0.0,0.0,0.0,84.1,48.9,3.7,0.0,0.0,0.0,87.2,27.8,18.1,4
 Kaleb Ort,96.3,12.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,36.4,10.3,89.8,28.2,15.8,1
 Sam Long,94.7,12.4,7.5,0.0,0.0,0.0,0.0,0.0,0.0,77.0,62.0,2.1,0.0,0.0,0.0,84.3,23.8,11.0,4
