,name,pitcher_id,pitch_hand,avg_speed_FF,pitch_type_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,pitch_type_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,pitch_type_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,pitch_type_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,pitch_type_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,pitch_type_CH,vertical_break_CH,horizonal_break_CH
55, Merrill Kelly,518876,R,92.6,FF,16.6,8.1,92.6,SIFT,24.4,16.1,90.9,FC,20.1,1.6,82.2,CUKC,50.9,9.1,0.0,0,0.0,0.0,88.6,CH,32.3,16.6
56, Kyle Bradish,680694,R,94.6,FF,14.4,1.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,83.2,CUKC,53.1,5.8,86.9,SL,37.4,10.8,89.9,CH,24.3,12.2
57, Mitch Keller,656605,R,95.5,FF,15.2,7.3,94.4,SIFT,19.7,14.8,0.0,0,0.0,0.0,78.7,CUKC,60.0,11.2,87.0,SL,36.3,4.9,91.2,CH,28.1,14.8
58, Shane McClanahan,663556,L,96.7,FF,11.7,10.8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,82.0,CUKC,52.1,7.6,89.3,SL,30.6,3.6,87.7,CH,25.4,16.0
59, Chris Flexen,623167,R,91.7,FF,13.7,2.3,0.0,0,0.0,0.0,87.4,FC,28.4,6.6,0.0,0,0.0,0.0,80.9,SL,43.5,8.4,81.1,CH,32.9,12.6
60, Jeffrey Springs,605488,L,91.4,FF,15.3,11.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,85.4,SL,32.4,4.5,81.1,CH,34.1,13.7
61, Dylan Bundy,605164,R,89.0,FF,15.3,4.5,89.7,SIFT,17.0,12.1,0.0,0,0.0,0.0,72.2,CUKC,63.4,8.2,79.1,SL,44.4,5.3,81.1,CH,35.3,12.2
62, Zack Greinke,425844,R,89.1,FF,18.4,2.0,0.0,0,0.0,0.0,85.8,FC,30.9,6.7,72.0,CUKC,64.4,12.5,82.2,SL,34.4,8.1,86.5,CH,32.6,12.8
63, Miles Mikolas,571945,R,93.5,FF,16.3,4.9,93.0,SIFT,19.5,13.3,0.0,0,0.0,0.0,76.0,CUKC,63.3,8.7,87.7,SL,31.1,3.9,0.0,0,0.0,0.0
64, Taylor Hearn,621368,L,94.8,FF,13.8,7.7,93.8,SIFT,18.7,14.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,84.9,SL,38.7,3.2,87.6,CH,26.1,10.4
65, Carlos Carrasco,471911,R,93.2,FF,17.5,7.5,91.9,SIFT,24.9,16.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,84.9,SL,35.6,2.3,87.4,CH,34.6,8.1
66, Germán Márquez,608566,R,95.6,FF,16.6,8.9,95.1,SIFT,21.0,14.3,0.0,0,0.0,0.0,86.5,CUKC,38.3,1.1,87.7,SL,31.1,0.3,0.0,0,0.0,0.0
67, Brock Burke,656271,L,95.0,FF,14.0,10.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,87.2,SL,30.7,0.9,88.1,CH,26.8,16.9
68, Austin Gomber,596295,L,91.0,FF,15.6,6.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,75.8,CUKC,61.6,7.0,84.3,SL,34.7,5.0,82.0,CH,29.8,9.8
69, Keegan Thompson,624522,R,93.6,FF,13.9,4.4,92.8,SIFT,18.9,12.5,89.9,FC,25.4,5.2,81.3,CUKC,55.1,8.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0
70, Luis Castillo,622491,R,97.1,FF,15.4,11.4,96.9,SIFT,23.3,17.8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.5,SL,36.0,1.1,88.4,CH,32.3,17.3
71, Antonio Senzatela,622608,R,94.2,FF,19.6,3.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,78.2,CUKC,50.8,5.9,86.1,SL,34.3,4.9,87.0,CH,27.8,8.0
72, Jonathan Heasley,669169,R,93.4,FF,12.5,8.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,78.5,CUKC,60.3,6.1,85.6,SL,34.0,3.3,84.9,CH,27.7,12.9
73, Sandy Alcantara,645261,R,98.0,FF,14.9,12.0,97.8,SIFT,21.3,17.7,0.0,0,0.0,0.0,0.0,0,0.0,0.0,90.0,SL,30.5,0.3,91.8,CH,28.8,16.8
74, Brad Keller,641745,R,94.5,FF,17.3,2.4,93.4,SIFT,23.5,10.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.9,SL,38.5,5.7,90.0,CH,25.1,10.1
75, Drew Rasmussen,656876,R,95.5,FF,13.5,2.3,0.0,0,0.0,0.0,90.3,FC,29.3,1.4,0.0,0,0.0,0.0,84.6,SL,42.2,12.1,0.0,0,0.0,0.0
76, Tony Gonsolin,664062,R,93.1,FF,14.2,8.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,80.7,CUKC,54.0,3.3,87.5,SL,30.8,3.2,0.0,0,0.0,0.0
77, Joan Adon,672851,R,95.0,FF,15.4,10.7,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.7,CUKC,53.5,7.8,0.0,0,0.0,0.0,87.4,CH,28.5,16.1
78, Luis Severino,622663,R,96.3,FF,12.2,7.6,0.0,0,0.0,0.0,90.4,FC,28.9,4.9,0.0,0,0.0,0.0,85.2,SL,40.8,10.3,88.8,CH,25.4,13.6
79, Roansy Contreras,672710,R,95.6,FF,12.3,7.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,78.9,CUKC,56.7,8.9,83.8,SL,40.3,4.3,0.0,0,0.0,0.0
80, Andrew Heaney,571760,L,93.0,FF,17.5,14.8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,83.4,SL,38.2,3.6,85.0,CH,31.6,16.7
81, Mitch White,669952,R,93.7,FF,15.2,3.9,94.2,SIFT,16.8,13.1,0.0,0,0.0,0.0,80.2,CUKC,57.2,5.2,85.4,SL,38.3,9.2,0.0,0,0.0,0.0
82, MacKenzie Gore,669022,L,94.7,FF,13.0,5.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,80.8,CUKC,52.3,0.6,87.4,SL,30.6,2.1,84.8,CH,24.9,13.1
83, José Berríos,621244,R,94.0,FF,16.6,10.6,93.9,SIFT,20.8,16.6,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,84.6,CH,33.9,14.4
84, Colin Poche,621363,L,93.2,FF,10.7,0.9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,78.8,CUKC,48.7,17.7,0.0,0,0.0,0.0,0.0,0,0.0,0.0
85, Yu Darvish,506433,R,95.0,FF,13.5,7.1,94.7,SIFT,18.9,14.0,86.5,FC,35.3,5.2,0.0,0,0.0,0.0,82.3,SL,42.6,15.0,0.0,0,0.0,0.0
86, Freddy Peralta,642547,R,92.6,FF,16.0,8.8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,75.8,CUKC,51.2,5.6,80.3,SL,39.0,8.0,85.9,CH,33.4,14.7
87, Trevor Williams,592866,R,91.2,FF,19.9,6.9,89.0,SIFT,30.9,15.6,0.0,0,0.0,0.0,78.6,CUKC,42.0,11.0,83.2,SL,37.1,5.6,84.4,CH,33.6,13.9
88, Craig Kimbrel,518886,R,95.8,FF,15.4,10.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,85.7,CUKC,44.0,10.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0
89, Taijuan Walker,592836,R,93.7,FF,14.0,10.1,92.9,SIFT,18.9,15.2,88.6,FC,23.0,1.5,75.0,CUKC,60.5,7.0,84.8,SL,32.6,5.3,0.0,0,0.0,0.0
90, Clayton Kershaw,477132,L,90.7,FF,14.7,0.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,73.2,CUKC,66.9,4.9,86.6,SL,29.8,5.4,0.0,0,0.0,0.0
91, Austin Voth,608723,R,93.5,FF,13.9,7.2,0.0,0,0.0,0.0,89.5,FC,26.6,2.5,77.5,CUKC,57.2,16.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
92, Drew Hutchison,571800,R,92.4,FF,15.2,3.7,92.7,SIFT,17.3,11.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.0,SL,37.2,4.5,86.5,CH,26.9,13.3
93, Shohei Ohtani,660271,R,97.3,FF,14.5,3.4,0.0,0,0.0,0.0,90.6,FC,27.6,3.6,77.7,CUKC,59.5,11.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0
94, Mike Minor,501985,L,90.4,FF,19.2,3.9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.2,CUKC,55.0,7.1,85.4,SL,33.7,3.5,84.2,CH,28.8,16.7
95, Carlos Estévez,608032,R,97.5,FF,14.1,10.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,87.3,SL,35.1,5.1,88.4,CH,28.4,10.6
96, David Peterson,656849,L,93.7,FF,17.5,9.0,93.2,SIFT,22.2,16.7,0.0,0,0.0,0.0,78.5,CUKC,52.5,7.3,84.4,SL,37.7,3.9,85.8,CH,31.2,16.2
97, Rich Hill,448179,L,88.5,FF,16.4,8.2,0.0,0,0.0,0.0,84.2,FC,29.6,1.9,71.8,CUKC,67.7,17.8,69.2,SL,56.5,22.7,0.0,0,0.0,0.0
98, Mike Clevinger,605182,R,93.6,FF,14.2,8.7,93.2,SIFT,16.6,14.0,86.6,FC,31.3,4.3,0.0,0,0.0,0.0,79.9,SL,44.6,15.6,86.3,CH,26.6,14.3
99, Ian Kennedy,453178,R,93.4,FF,14.1,10.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.6,CUKC,50.5,8.3,0.0,0,0.0,0.0,85.7,CH,29.0,8.4
100, Brent Suter,608718,L,86.4,FF,23.7,3.8,87.4,SIFT,23.3,10.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,77.2,CH,34.8,10.0
101, Carl Edwards Jr.,605218,R,94.6,FF,14.2,1.7,0.0,0,0.0,0.0,0.0,0,0.0,0.0,80.2,CUKC,52.7,7.9,0.0,0,0.0,0.0,90.6,CH,23.4,12.3
102, Ross Stripling,548389,R,91.9,FF,13.7,5.2,89.9,SIFT,19.4,12.1,0.0,0,0.0,0.0,76.1,CUKC,59.0,7.2,87.1,SL,29.6,4.5,82.6,CH,29.7,10.9
103, Joe Musgrove,605397,R,92.9,FF,18.3,4.1,92.4,SIFT,22.9,12.4,90.1,FC,24.5,1.6,81.3,CUKC,55.5,9.6,82.9,SL,41.8,12.8,86.5,CH,32.7,11.4
104, Dylan Coleman,669395,R,97.5,FF,15.2,4.8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,83.3,SL,36.2,13.9,0.0,0,0.0,0.0
105, Phil Bickford,641360,R,94.1,FF,15.2,4.8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,83.3,SL,37.6,6.5,0.0,0,0.0,0.0
106, Alexis Díaz,664747,R,95.7,FF,15.6,6.6,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.9,SL,35.1,5.8,0.0,0,0.0,0.0
